Dates,x_close,y_close
2016-07-04,121.45,122.64
2016-07-04,121.49,122.59
2016-07-04,121.54,122.57
2016-07-04,121.56,122.55
2016-07-04,121.56,122.5
2016-07-04,121.63,122.55
2016-07-04,121.68,122.58
2016-07-04,121.64,122.58
2016-07-04,121.66,122.62
2016-07-04,121.61,122.61
2016-07-04,121.6,122.6
2016-07-04,121.63,122.6
2016-07-04,121.66,122.56
2016-07-04,121.65,122.56
2016-07-04,121.59,122.54
2016-07-04,121.58,122.53
2016-07-04,121.43,122.52
2016-07-04,121.47,122.47
2016-07-04,121.53,122.46
2016-07-04,121.54,122.43
2016-07-04,121.5,122.39
2016-07-04,121.52,122.4
2016-07-04,121.51,122.36
2016-07-04,121.42,122.35
2016-07-04,121.51,122.32
2016-07-04,121.53,122.34
2016-07-04,121.48,122.34
2016-07-04,121.48,122.35
2016-07-04,121.37,122.33
2016-07-04,121.43,122.29
2016-07-04,121.5,122.28
2016-07-04,121.46,122.31
2016-07-04,121.44,122.26
2016-07-04,121.38,122.24
2016-07-04,121.32,122.24
2016-07-04,121.27,122.2
2016-07-04,121.29,122.16
2016-07-04,121.14,122.1
2016-07-04,121.13,122.06
2016-07-04,121.27,122.07
2016-07-04,121.4,122.18
2016-07-04,121.39,122.29
2016-07-04,121.43,122.33
2016-07-04,121.51,122.38
2016-07-04,121.52,122.42
2016-07-04,121.51,122.39
2016-07-04,121.46,122.38
2016-07-04,121.45,122.37
2016-07-04,121.5,122.32
2016-07-04,121.46,122.34
2016-07-04,121.49,122.35
2016-07-04,121.46,122.36
2016-07-04,121.5,122.36
2016-07-04,121.45,122.37
2016-07-04,121.43,122.35
2016-07-04,121.41,122.33
2016-07-04,121.41,122.34
2016-07-04,121.38,122.32
2016-07-04,121.38,122.3
2016-07-04,121.3,122.26
2016-07-04,121.39,122.23
2016-07-04,121.34,122.19
2016-07-04,121.26,122.17
2016-07-04,121.25,122.13
2016-07-04,121.11,122.09
2016-07-04,121.14,122.07
2016-07-04,121.24,122.07
2016-07-04,121.23,122.05
2016-07-04,121.25,122.1
2016-07-04,121.38,122.19
2016-07-04,121.4,122.22
2016-07-04,121.35,122.27
2016-07-04,121.43,122.26
2016-07-04,121.37,122.29
2016-07-04,121.39,122.31
2016-07-04,121.48,122.32
2016-07-04,121.48,122.33
2016-07-04,121.51,122.31
2016-07-04,121.54,122.31
2016-07-04,121.41,122.31
2016-07-04,121.36,122.27
2016-07-04,121.39,122.26
2016-07-04,121.38,122.25
2016-07-04,121.36,122.22
2016-07-04,121.37,122.19
2016-07-04,121.29,122.17
2016-07-04,121.27,122.17
2016-07-04,121.21,122.15
2016-07-04,121.22,122.14
2016-07-04,121.27,122.17
2016-07-04,121.26,122.12
2016-07-04,121.16,122.11
2016-07-04,120.91,122.03
2016-07-04,120.9,121.98
2016-07-04,120.92,121.92
2016-07-04,120.99,121.93
2016-07-04,121.12,122.05
2016-07-04,121.26,122.11
2016-07-04,121.38,122.19
2016-07-04,121.42,122.24
2016-07-04,121.41,122.26
2016-07-04,121.39,122.28
2016-07-04,121.35,122.34
2016-07-04,121.46,122.39
2016-07-04,121.42,122.39
2016-07-04,121.4,122.38
2016-07-04,121.39,122.39
2016-07-04,121.38,122.41
2016-07-04,121.55,122.42
2016-07-04,121.52,122.49
2016-07-04,121.63,122.53
2016-07-04,121.66,122.56
2016-07-04,121.59,122.58
2016-07-04,121.56,122.6
2016-07-04,121.52,122.6
2016-07-04,121.54,122.57
2016-07-04,121.51,122.58
2016-07-04,121.48,122.54
2016-07-04,121.4,122.51
2016-07-04,121.41,122.49
2016-07-04,121.45,122.46
2016-07-04,121.49,122.47
2016-07-04,121.44,122.47
2016-07-04,121.44,122.47
2016-07-04,121.44,122.46
